,1,2,3,pChEMBL.Value,Name
0,-358.49975783678536,0.8396167258706376,0.06174531248301344,5.47,CHEMBL420395
1,-357.4998257007618,0.7826123106244772,0.051562363016913075,6.55,CHEMBL136664
2,-356.4997581141673,0.8392204386104982,0.062221394342534514,4.98,CHEMBL76374
3,-355.49982597814363,0.7822160233643372,0.05203844487643674,6.3,CHEMBL349091
4,-354.4997098584435,1.2030724721083352,0.3376880876679345,6.72,CHEMBL67175
5,-353.5001796706237,-1.2555940531677008,-1.1160151302227947,6.08,CHEMBL1627410
6,-352.4997364595384,1.2511309132919852,-0.5688090147767164,6.32,CHEMBL479928
7,-351.50067150365953,-1.1635263916773615,1.2772410284328166,4.7,CHEMBL228371
8,-350.5006716423505,-1.1637245353074313,1.2774790693625786,6.82,CHEMBL228541
9,-349.49983536780627,1.5233009543630243,-0.29536755032942635,6.8,CHEMBL598009
10,-348.49978496619315,0.8027552487972236,0.2860474110153942,5.16,CHEMBL63397
11,-347.5007082064695,-1.0938707061670265,1.294904359689849,6.34,CHEMBL231602
12,-346.49980741435274,1.93699112129938,-0.6279575863304123,5.29,CHEMBL325346
13,-345.4997596397676,0.8370408586797327,0.06483984456991941,4.5,CHEMBL79227
14,-344.5006844689114,-0.7552910605882188,1.4649079947570358,5.05,CHEMBL27198
15,-343.5006631128938,-0.6220488438210346,1.401770626920384,5.22,CHEMBL284412
16,-342.5006847462933,-0.7556873478483579,1.4653840766165593,4.72,CHEMBL27197
17,-341.50067289056886,-1.1655078279780575,1.279621437730436,6.6,CHEMBL228542
18,-340.4999097255666,0.6995841353310532,0.4903203580269904,6.87,CHEMBL344037
19,-339.5006731679507,-1.1659041152381973,1.2800975195899598,4.37,CHEMBL389265
20,-338.4997606106041,0.8356538532692454,0.06650613107825296,5.47,CHEMBL84380
21,-337.49990501509575,1.9566251163337636,-0.5242152388656999,5.54,CHEMBL1672974
22,-336.499746914636,0.7671523760478637,-0.41170813850350996,4.95,CHEMBL334696
23,-335.4998772817571,1.9576413370901264,-0.582239901598901,9.89,CHEMBL1672979
24,-334.4998288906532,0.7780550071328749,0.05703730440143738,5.03,CHEMBL347202
25,-333.4997613040587,0.834663135118897,0.06769633572706266,4.65,CHEMBL305637
26,-332.49982916803503,0.7776587198727358,0.057513386260961225,5.77,CHEMBL443552
27,-331.50023060655843,-0.6503863874688984,0.26948376930829715,5.03,CHEMBL184540
28,-330.50077076542215,-0.7167970583005355,0.9563263333506802,5.85,CHEMBL26541
29,-329.50024132419526,-0.9375667002489748,0.125275664806144,6.75,CHEMBL186816
30,-328.50068668796627,-0.758461358669333,1.4687166496332267,4.54,CHEMBL27775
31,-327.50025119560524,-1.0910524756065103,-1.1545882913327197,5.99,CHEMBL1627553
32,-326.4997880173936,0.7983960889356918,0.2912843114701569,5.3,CHEMBL63504
33,-325.4998196961379,1.9378781801990725,-0.6253561013102608,6.72,CHEMBL390496
34,-324.4999068180778,1.954049249142858,-0.5211207067787946,6.62,CHEMBL1672982
35,-323.4998506148493,1.0116524535051683,0.7101963160852385,6.72,CHEMBL137119
36,-322.50019278824794,-1.2202082488401502,-1.0837554214818792,6.96,CHEMBL1627418
37,-321.49975399154965,-0.18759379208554006,-0.37350300433443356,4.99,CHEMBL181078
38,-320.4996876652278,1.0794188378520484,-0.1920702213750242,6.0,CHEMBL26036
39,-319.49983097101716,0.7750828526818306,0.06060791834786645,5.59,CHEMBL137313
40,-318.4999127767671,0.6952249754695214,0.4955572584817529,7.35,CHEMBL137289
41,-317.50019857200624,-1.1397926135716507,-0.48782268903315307,5.25,CHEMBL1627428
42,-316.50067635784205,-1.1704614187297988,1.2855724609744847,5.38,CHEMBL426202
43,-315.5006884909484,-0.761037225860238,1.4718111817201318,4.3,CHEMBL285011
44,-314.500445901098,-0.8793579938263744,1.0920181587596318,5.34,CHEMBL389890
45,-313.50021322898135,-1.2649323063869895,-1.0479927484395921,5.7,CHEMBL1627411
46,-312.4997198354851,0.6072377062907326,0.3054047586563768,7.25,CHEMBL44459
47,-311.499767956903,-0.01953421091909076,-0.8149457334991907,4.1,CHEMBL1159897
48,-310.5006771899876,-1.1716502805102162,1.2870007065530564,4.89,CHEMBL228797
49,-309.50077312952527,-1.2848966240901958,1.194385885402755,5.1,CHEMBL444886
50,-308.5003724576395,-0.48141849407609916,1.146515326569315,5.4,CHEMBL389867
51,-307.50067760606044,-1.1722447114004253,1.287714829342342,7.3,CHEMBL389889
52,-306.4997650487138,0.8293132571070171,0.07412344083063496,5.32,CHEMBL80330
53,-305.5006635503933,-0.6138233116418792,0.5177756780696129,6.58,CHEMBL187900
54,-304.49976532609566,0.8289169698468779,0.07459952269015878,5.42,CHEMBL78282
55,-303.49976546478666,0.8287188262168081,0.07483756361992074,5.23,CHEMBL306782
56,-302.5001608069255,-0.9594504257229448,-0.9248548379146498,6.96,CHEMBL1627421
57,-301.4997657421685,0.8283225389566689,0.07531364547944461,5.3,CHEMBL421505
58,-300.5002150319635,-1.2675081735778941,-1.044898216352687,6.36,CHEMBL1627427
59,-299.4997112296223,0.9335440841852991,0.14537206694840954,5.15,CHEMBL305077
60,-298.5002351833591,-0.6569251272611961,0.277339119990441,4.91,CHEMBL188214
61,-297.49991568927663,0.6910639592380592,0.5005561180067536,7.21,CHEMBL138488
62,-296.5007749325074,-1.2874724912811006,1.19748041748966,5.4,CHEMBL387708
63,-295.49984480936223,-1.0872153922114716,-0.9121759702938776,6.58,CHEMBL1945897
64,-294.4997181798993,1.1911838543041577,0.3519705434536507,6.11,CHEMBL65211
65,-293.49954950834797,0.3883582576925597,-1.0923215118449858,6.72,CHEMBL385226
66,-292.5002161414909,-1.2690933226184518,-1.0429938889145915,5.22,CHEMBL1628149
67,-291.5001882694614,-1.267878958232018,-1.1012565925775546,7.62,CHEMBL1627429
68,-290.49971247784066,0.9317607915146723,0.14751443531626693,5.28,CHEMBL63345
69,-289.49979314895796,0.7910647746231156,0.30009182587134847,5.34,CHEMBL65399
70,-288.50016274859854,-0.9622244365439193,-0.9215222648979828,7.66,CHEMBL1627617
71,-287.50021683494555,-1.2700840407687997,-1.0418036842657818,7.21,CHEMBL270250
72,-286.50021697363644,-1.2702821843988688,-1.0415656433360199,4.84,CHEMBL1627625
